Latitude, Longitude, Data Value
84, 20, -999
84, 21, -999
84, 22, -999
84, 23, -999
84, 24, -999
84, 25, -999
84, 26, -999
84, 27, -999
84, 28, -999
84, 29, -999
84, 30, -999
84, 31, -999
84, 32, -999
84, 33, -999
84, 34, -999
84, 35, -999
84, 36, -999
84, 37, -999
84, 38, -999
84, 39, -999
84, 40, -999
84, 41, -999
84, 42, -999
84, 43, -999
84, 44, -999
84, 45, -999
84, 46, -999
84, 47, -999
84, 48, -999
84, 49, -999
84, 50, -999
84, 51, -999
84, 52, -999
84, 53, -999
84, 54, -999
84, 55, -999
84, 56, -999
84, 57, -999
84, 58, -999
84, 59, -999
84, 60, -999
84, 61, -999
84, 62, -999
84, 63, -999
84, 64, -999
84, 65, -999
84, 66, -999
84, 67, -999
84, 68, -999
84, 69, -999
84, 70, -999
84, 71, -999
84, 72, -999
84, 73, -999
84, 74, -999
84, 75, -999
84, 76, -999
84, 77, -999
84, 78, -999
84, 79, -999
84, 80, -999
84, 81, -999
84, 82, -999
84, 83, -999
84, 84, -999
84, 85, -999
84, 86, -999
84, 87, -999
84, 88, -999
84, 89, -999
84, 90, -999
84, 91, -999
84, 92, -999
84, 93, -999
84, 94, -999
84, 95, -999
84, 96, -999
84, 97, -999
84, 98, -999
84, 99, -999
84, 100, -999
84, 101, -999
84, 102, -999
84, 103, -999
84, 104, -999
84, 105, -999
84, 106, -999
84, 107, -999
84, 108, -999
84, 109, -999
84, 110, -999
84, 111, -999
84, 112, -999
84, 113, -999
84, 114, -999
84, 115, -999
84, 116, -999
84, 117, -999
84, 118, -999
84, 119, -999
84, 120, -999
84, 121, -999
84, 122, -999
84, 123, -999
84, 124, -999
84, 125, -999
84, 126, -999
84, 127, -999
84, 128, -999
84, 129, -999
84, 130, -999
84, 131, -999
84, 132, -999
84, 133, -999
84, 134, -999
84, 135, -999
84, 136, -999
84, 137, -999
84, 138, -999
84, 139, -999
84, 140, -999
84, 141, -999
84, 142, -999
84, 143, -999
84, 144, -999
84, 145, -999
84, 146, -999
84, 147, -999
84, 148, -999
84, 149, -999
84, 150, -999
84, 151, -999
84, 152, -999
84, 153, -999
84, 154, -999
84, 155, -999
84, 156, -999
84, 157, -999
84, 158, -999
84, 159, -999
84, 160, -999
84, 161, -999
84, 162, -999
84, 163, -999
84, 164, -999
84, 165, -999
84, 166, -999
84, 167, -999
84, 168, -999
84, 169, -999
84, 170, -999
84, 171, -999
84, 172, -999
84, 173, -999
84, 174, -999
84, 175, -999
84, 176, -999
84, 177, -999
84, 178, -999
84, 179, -999
84, 180, -999
84, -179, -999
84, -178, -999
84, -177, -999
84, -176, -999
84, -175, -999
84, -174, -999
84, -173, -999
84, -172, -999
84, -171, -999
84, -170, -999
84, -169, -999
84, -168, -999
84, -167, -999
84, -166, -999
84, -165, -999
84, -164, -999
84, -163, -999
84, -162, -999
84, -161, -999
84, -160, -999
84, -159, -999
84, -158, -999
84, -157, -999
84, -156, -999
84, -155, -999
84, -154, -999
84, -153, -999
84, -152, -999
84, -151, -999
84, -150, -999
84, -149, -999
84, -148, -999
84, -147, -999
84, -146, -999
84, -145, -999
84, -144, -999
84, -143, -999
84, -142, -999
84, -141, -999
84, -140, -999
84, -139, -999
84, -138, -999
84, -137, -999
84, -136, -999
84, -135, -999
84, -134, -999
84, -133, -999
84, -132, -999
84, -131, -999
84, -130, -999
84, -129, -999
84, -128, -999
84, -127, -999
84, -126, -999
84, -125, -999
84, -124, -999
84, -123, -999
84, -122, -999
84, -121, -999
84, -120, -999
84, -119, -999
84, -118, -999
84, -117, -999
84, -116, -999
84, -115, -999
84, -114, -999
84, -113, -999
84, -112, -999
84, -111, -999
84, -110, -999
84, -109, -999
84, -108, -999
84, -107, -999
84, -106, -999
84, -105, -999
84, -104, -999
84, -103, -999
84, -102, -999
84, -101, -999
84, -100, -999
84, -99, -999
84, -98, -999
84, -97, -999
84, -96, -999
84, -95, -999
84, -94, -999
84, -93, -999
84, -92, -999
84, -91, -999
84, -90, -999
84, -89, -999
84, -88, -999
84, -87, -999
84, -86, -999
84, -85, -999
84, -84, -999
84, -83, -999
84, -82, -999
84, -81, -999
84, -80, -999
84, -79, -999
84, -78, -999
84, -77, -999
84, -76, -999
84, -75, -999
84, -74, -999
84, -73, -999
84, -72, -999
84, -71, -999
84, -70, -999
84, -69, -999
84, -68, -999
84, -67, -999
84, -66, -999
84, -65, -999
84, -64, -999
84, -63, -999
84, -62, -999
84, -61, -999
84, -60, -999
84, -59, -999
84, -58, -999
84, -57, -999
84, -56, -999
84, -55, -999
84, -54, -999
84, -53, -999
84, -52, -999
84, -51, -999
84, -50, -999
84, -49, -999
84, -48, -999
84, -47, -999
84, -46, -999
84, -45, -999
84, -44, -999
84, -43, -999
84, -42, -999
84, -41, -999
84, -40, -999
84, -39, -999
84, -38, -999
84, -37, -999
84, -36, -999
84, -35, -999
84, -34, -999
84, -33, -999
84, -32, -999
84, -31, -999
84, -30, -999
84, -29, -999
84, -28, -999
84, -27, -999
84, -26, -999
84, -25, -999
84, -24, -999
84, -23, -999
84, -22, -999
84, -21, -999
84, -20, -999
84, -19, -999
84, -18, -999
84, -17, -999
84, -16, -999
84, -15, -999
84, -14, -999
84, -13, -999
84, -12, -999
84, -11, -999
84, -10, -999
84, -9, -999
84, -8, -999
84, -7, -999
84, -6, -999
84, -5, -999
84, -4, -999
84, -3, -999
84, -2, -999
84, -1, -999
84, 0, -999
84, 1, -999
84, 2, -999
84, 3, -999
84, 4, -999
84, 5, -999
84, 6, -999
84, 7, -999
84, 8, -999
84, 9, -999
84, 10, -999
84, 11, -999
84, 12, -999
84, 13, -999
84, 14, -999
84, 15, -999
84, 16, -999
84, 17, -999
84, 18, -999
84, 19, -999
83, 20, -999
83, 21, -999
83, 22, -999
83, 23, -999
83, 24, -999
83, 25, -999
83, 26, -999
83, 27, -999
83, 28, -999
83, 29, -999
83, 30, -999
83, 31, -999
83, 32, -999
83, 33, -999
83, 34, -999
83, 35, -999
83, 36, -999
83, 37, -999
83, 38, -999
83, 39, -999
83, 40, -999
83, 41, -999
83, 42, -999
83, 43, -999
83, 44, -999
83, 45, -999
83, 46, -999
83, 47, -999
83, 48, -999
83, 49, -999
83, 50, -999
83, 51, -999
83, 52, -999
83, 53, -999
83, 54, -999
83, 55, -999
83, 56, -999
83, 57, -999
83, 58, -999
83, 59, -999
83, 60, -999
83, 61, -999
83, 62, -999
83, 63, -999
83, 64, -999
83, 65, -999
83, 66, -999
83, 67, -999
83, 68, -999
83, 69, -999
83, 70, -999
83, 71, -999
83, 72, -999
83, 73, -999
83, 74, -999
83, 75, -999
83, 76, -999
83, 77, -999
83, 78, -999
83, 79, -999
83, 80, -999
83, 81, -999
83, 82, -999
83, 83, -999
83, 84, -999
83, 85, -999
83, 86, -999
83, 87, -999
83, 88, -999
83, 89, -999
83, 90, -999
83, 91, -999
83, 92, -999
83, 93, -999
83, 94, -999
83, 95, -999
83, 96, -999
83, 97, -999
83, 98, -999
83, 99, -999
83, 100, -999
83, 101, -999
83, 102, -999
83, 103, -999
83, 104, -999
83, 105, -999
83, 106, -999
83, 107, -999
83, 108, -999
83, 109, -999
83, 110, -999
83, 111, -999
83, 112, -999
83, 113, -999
83, 114, -999
83, 115, -999
83, 116, -999
83, 117, -999
83, 118, -999
83, 119, -999
83, 120, -999
83, 121, -999
83, 122, -999
83, 123, -999
83, 124, -999
83, 125, -999
83, 126, -999
83, 127, -999
83, 128, -999
83, 129, -999
83, 130, -999
83, 131, -999
83, 132, -999
83, 133, -999
83, 134, -999
83, 135, -999
83, 136, -999
83, 137, -999
83, 138, -999
83, 139, -999
83, 140, -999
83, 141, -999
83, 142, -999
83, 143, -999
83, 144, -999
83, 145, -999
83, 146, -999
83, 147, -999
83, 148, -999
83, 149, -999
83, 150, -999
83, 151, -999
83, 152, -999
83, 153, -999
83, 154, -999
83, 155, -999
83, 156, -999
83, 157, -999
83, 158, -999
83, 159, -999
83, 160, -999
83, 161, -999
83, 162, -999
83, 163, -999
83, 164, -999
83, 165, -999
83, 166, -999
83, 167, -999
83, 168, -999
83, 169, -999
83, 170, -999
83, 171, -999
83, 172, -999
83, 173, -999
83, 174, -999
83, 175, -999
83, 176, -999
83, 177, -999
83, 178, -999
83, 179, -999
83, 180, -999
83, -179, -999
83, -178, -999
83, -177, -999
83, -176, -999
83, -175, -999
83, -174, -999
83, -173, -999
83, -172, -999
83, -171, -999
83, -170, -999
83, -169, -999
83, -168, -999
83, -167, -999
83, -166, -999
83, -165, -999
83, -164, -999
83, -163, -999
83, -162, -999
83, -161, -999
83, -160, -999
83, -159, -999
83, -158, -999
83, -157, -999
83, -156, -999
83, -155, -999
83, -154, -999
83, -153, -999
83, -152, -999
83, -151, -999
83, -150, -999
83, -149, -999
83, -148, -999
83, -147, -999
83, -146, -999
83, -145, -999
83, -144, -999
83, -143, -999
83, -142, -999
83, -141, -999
83, -140, -999
83, -139, -999
83, -138, -999
83, -137, -999
83, -136, -999
83, -135, -999
83, -134, -999
83, -133, -999
83, -132, -999
83, -131, -999
83, -130, -999
83, -129, -999
83, -128, -999
83, -127, -999
83, -126, -999
83, -125, -999
83, -124, -999
83, -123, -999
83, -122, -999
83, -121, -999
83, -120, -999
83, -119, -999
83, -118, -999
83, -117, -999
