date,region,sales,SST,fish_density,chlorophyll
2022-01-01,North,133.26,133.26,109.09157076505616,30.21433522478254
2022-01-02,North,142.38,142.38,113.21267849414409,34.96601062575456
2022-01-03,North,136.82,136.82,112.69444269050346,31.97460540776664
2022-01-04,North,131.84,131.84,113.08714928204012,31.23962364578301
2022-01-05,North,118.51,118.51,93.63723312638332,28.885504968896747
2022-01-06,North,120.76,120.76,95.4373152152541,29.656480792853355
2022-01-07,North,128.39,128.39,110.60806407753697,30.44554191375608
2022-01-08,North,134.49,134.49,111.42917364576456,32.32742636634106
2022-01-09,North,128.02,128.02,100.06862807032525,33.76023611512437
2022-01-10,North,140.46,140.46,115.08080021792983,35.06289937123044
2022-01-11,North,131.15,131.15,102.60291153593772,32.9683091849938
2022-01-12,North,114.08,114.08,88.93535123214872,26.904920947952263
2022-01-13,North,121.54,121.54,98.4418113578302,27.529518343543355
2022-01-14,North,127.82,127.82,92.689598776711,32.474601116475505
2022-01-15,North,135.88,135.88,100.07941083743484,33.92809358505959
2022-01-16,North,130.67,130.67,101.72456235379514,34.07934135150197
2022-01-17,North,132.85,132.85,101.21584439832787,30.36203874806154
2022-01-18,North,130.35,130.35,105.85123666297638,30.610902689279307
2022-01-19,North,134.79,134.79,103.29187962239394,28.67903167494913
2022-01-20,North,125.93,125.93,93.68248149332356,29.40105778787826
2022-01-21,North,132.43,132.43,113.2722438446078,33.479141021158895
2022-01-22,North,137.11,137.11,108.55911849756734,31.48900924154361
2022-01-23,North,138.65,138.65,111.25764102343965,34.010959590401654
2022-01-24,North,141.02,141.02,105.69225906893271,32.82299378800438
2022-01-25,North,129.1,129.1,100.55808637737408,31.46811405644312
2022-01-26,North,119.1,119.1,95.83461294854932,26.524617220368665
2022-01-27,North,119.14,119.14,89.55703211288849,28.998418899267804
2022-01-28,North,131.3,131.3,106.9184900917284,25.27772805819856
2022-01-29,North,137.3,137.3,106.836806550406,32.08620768367604
2022-01-30,North,141.92,141.92,112.07753125103362,30.12305351256972
2022-01-31,North,135.43,135.43,105.33546693885302,34.49798903309363
2022-02-01,North,129.88,129.88,113.16539092254467,32.530814705529025
2022-02-02,North,116.24,116.24,92.92451387631031,29.18134196393216
2022-02-03,North,130.0,130.0,98.71144535522048,34.04201245431876
2022-02-04,North,146.29,146.29,121.14472456051594,32.36016695835033
2022-02-05,North,146.23,146.23,110.87978175014489,37.74072639583112
2022-02-06,North,143.32,143.32,115.70031797502378,35.52838312852077
2022-02-07,North,141.27,141.27,103.21764938060116,32.780889425562115
2022-02-08,North,123.18,123.18,91.90306975550786,31.90724029436589
2022-02-09,North,114.94,114.94,92.93630617934562,25.77541297517673
2022-02-10,North,128.7,128.7,106.65233289997704,29.09097167694465
2022-02-11,North,130.0,130.0,104.85684140594984,29.7828205535206
2022-02-12,North,133.81,133.81,106.4697585880588,30.70404458387197
2022-02-13,North,138.12,138.12,108.99048152205356,30.51088471447949
2022-02-14,North,131.5,131.5,97.80739004816286,33.74616613419065
2022-02-15,North,129.19,129.19,99.75277895802644,30.32029119926034
2022-02-16,North,126.05,126.05,98.53680614520108,30.91500993671376
2022-02-17,North,129.55,129.55,108.9256111310946,29.769297267172643
2022-02-18,North,137.45,137.45,111.6780914478423,28.848793398902963
2022-02-19,North,144.61,144.61,106.87279922318636,34.46211471678285
2022-02-20,North,141.77,141.77,115.03641984697398,29.52949004916045
2022-02-21,North,134.32,134.32,105.53058859791842,31.726731907829063
2022-02-22,North,121.26,121.26,93.62338999847022,26.515369922334383
2022-02-23,North,128.93,128.93,106.20238144420436,34.760551998461615
2022-02-24,North,124.52,124.52,104.77099761247976,31.726725444349444
2022-02-25,North,131.21,131.21,109.624400595581,31.453507582542965
2022-02-26,North,147.02,147.02,113.41991238388682,36.93141335530934
2022-02-27,North,138.6,138.6,109.33393812074392,31.027368045068528
2022-02-28,North,141.9,141.9,115.17631715701783,34.46695875734019
2022-03-01,North,130.57,130.57,109.3337256356118,31.513620867437428
2022-03-02,North,118.53,118.53,92.42812881077356,29.23404016266734
2022-03-03,North,125.31,125.31,99.31970511668092,32.60670700021354
2022-03-04,North,138.42,138.42,105.20432512996985,34.1489842055596
2022-03-05,North,145.39,145.39,110.33096687959664,34.655447325650044
2022-03-06,North,150.86,150.86,124.750629111971,31.86222512754341
2022-03-07,North,139.7,139.7,118.54120014285412,31.01990740944107
2022-03-08,North,146.24,146.24,116.63194939209836,34.00258213280856
2022-03-09,North,119.41,119.41,100.54566448946012,29.068744748553303
2022-03-10,North,123.99,123.99,101.00018012523816,27.537592550652157
2022-03-11,North,133.54,133.54,103.60640122697436,36.53135335115684
2022-03-12,North,134.61,134.61,109.49497802754207,34.95478811050715
2022-03-13,North,148.88,148.88,126.79418283232984,35.980236640784966
2022-03-14,North,142.82,142.82,114.07686980445024,33.70807372256749
2022-03-15,North,129.76,129.76,111.63121827907004,30.52758206019769
2022-03-16,North,121.62,121.62,84.19727447955128,27.42016307995553
2022-03-17,North,118.79,118.79,99.14151252187612,28.91296103703773
2022-03-18,North,130.18,130.18,104.57923534119088,31.5515050802855
2022-03-19,North,145.71,145.71,115.07296324767069,31.658478849036754
2022-03-20,North,142.9,142.9,114.77880388267752,34.24835283448979
2022-03-21,North,136.46,136.46,99.23015542699554,31.981481902350502
2022-03-22,North,132.46,132.46,104.86964056081246,27.676384884245223
2022-03-23,North,130.37,130.37,106.08156285755874,29.353229978441
2022-03-24,North,127.84,127.84,109.66147022370758,29.740788933156715
2022-03-25,North,135.99,135.99,106.20064890863178,35.97337531468038
2022-03-26,North,149.13,149.13,115.26153198553406,35.939106249067514
2022-03-27,North,145.12,145.12,113.58721478207733,31.35303686180022
2022-03-28,North,137.33,137.33,114.4410105885104,33.438072578835275
2022-03-29,North,133.61,133.61,108.53175554829843,28.627392022123274
2022-03-30,North,123.59,123.59,96.2231989811648,31.88338210777415
2022-03-31,North,125.01,125.01,102.5743371655668,29.059750696364247
2022-04-01,North,141.07,141.07,113.3413877467402,33.026727622521655
2022-04-02,North,141.1,141.1,117.72322495266444,35.87159329508438
2022-04-03,North,131.26,131.26,101.49773453061324,28.6776728628315
2022-04-04,North,140.89,140.89,111.07368926701116,30.383763629774016
2022-04-05,North,128.55,128.55,100.87945923433924,29.542801347307996
2022-04-06,North,123.71,123.71,91.6504252593394,31.818757702038635
2022-04-07,North,129.4,129.4,105.0006013853229,27.84130784904632
2022-04-08,North,134.16,134.16,108.63327636089944,26.167688803778866
2022-04-09,North,143.93,143.93,115.16956728321232,32.883682283182004
2022-04-10,North,134.71,134.71,106.59506433312428,33.04548159982184
2022-04-11,North,134.74,134.74,100.71514628974796,34.348523499477665
2022-04-12,North,137.84,137.84,108.1687733861732,31.641677275829203
2022-04-13,North,125.36,125.36,98.57442741736617,29.249146785768
2022-04-14,North,119.05,119.05,91.22861365389193,31.11780146851149
2022-04-15,North,129.92,129.92,103.12957144166997,27.24451660060916
2022-04-16,North,138.18,138.18,112.5642542840727,31.858958449633985
2022-04-17,North,145.62,145.62,125.92692950605266,34.50484777985012
2022-04-18,North,137.58,137.58,110.93688906415922,33.41443744257008
2022-04-19,North,127.81,127.81,103.53575195361384,29.542386613618238
2022-04-20,North,125.76,125.76,100.23577042116916,30.220882023411683
2022-04-21,North,130.1,130.1,94.48614392350478,26.04334529317402
2022-04-22,North,134.27,134.27,107.28343062275393,30.537503175332304
2022-04-23,North,140.55,140.55,112.74115104970514,34.01701742510894
2022-04-24,North,143.29,143.29,126.94821056242644,31.693411931490644
2022-04-25,North,141.73,141.73,112.4221951760944,33.4639684431792
2022-04-26,North,131.36,131.36,106.59573671166808,32.1657450016054
2022-04-27,North,129.86,129.86,103.7144411514738,30.286901598284476
2022-04-28,North,122.25,122.25,91.95660981190235,29.790927541993145
2022-04-29,North,131.98,131.98,111.2981140725751,29.47053486943077
2022-04-30,North,147.58,147.58,121.82366516343389,34.10277744060791
2022-05-01,North,141.68,141.68,117.29915973521524,34.55643233917845
2022-05-02,North,147.24,147.24,113.24506272602632,34.76194592193687
2022-05-03,North,138.71,138.71,117.98197155468053,31.56893746087213
2022-05-04,North,133.27,133.27,99.6067446860386,32.10243280858159
2022-05-05,North,123.88,123.88,102.03828546900137,31.205219581273237
2022-05-06,North,136.53,136.53,120.17627812904988,28.206117442845045
2022-05-07,North,141.54,141.54,108.27931837434656,35.6261481299118
2022-05-08,North,150.59,150.59,117.64051135198616,34.445490522637854
2022-05-09,North,149.14,149.14,119.8102568254382,35.67897986648046
2022-05-10,North,136.34,136.34,106.554621729419,34.662493847290456
2022-05-11,North,126.65,126.65,93.56668284466934,27.58665260553907
2022-05-12,North,126.74,126.74,101.73481487403014,28.929117995144907
2022-05-13,North,139.68,139.68,106.4324814313695,32.35890260824859
2022-05-14,North,138.18,138.18,112.91196215317592,31.068492957751147
2022-05-15,North,148.95,148.95,114.56287882883096,38.25987315167362
2022-05-16,North,136.32,136.32,116.80567202508767,30.550455812346414
2022-05-17,North,135.36,135.36,104.37173353831882,30.960906441026268
2022-05-18,North,126.08,126.08,99.25369241897162,30.624778063205955
2022-05-19,North,126.92,126.92,105.60358608684837,27.979700947847824
2022-05-20,North,132.29,132.29,99.67767841783022,30.666638576487472
2022-05-21,North,142.8,142.8,115.37729967302066,34.194906522500354
2022-05-22,North,149.33,149.33,125.99971377141216,34.20027919123498
2022-05-23,North,146.4,146.4,109.08258382719389,34.093226282200106
2022-05-24,North,135.18,135.18,109.06716929266152,30.97733577510326
2022-05-25,North,134.0,134.0,108.49941397124212,28.771059381638462
2022-05-26,North,141.84,141.84,117.38111435888656,34.01118642267848
2022-05-27,North,135.39,135.39,102.1272464456096,35.587866143294484
2022-05-28,North,143.84,143.84,108.46971693457864,33.804803261566875
2022-05-29,North,139.64,139.64,114.32170782808448,33.37852823449509
2022-05-30,North,147.42,147.42,119.42092336616592,35.86944551023372
2022-05-31,North,139.33,139.33,112.7164642517294,30.327339006906605
2022-06-01,North,123.13,123.13,100.23624104748488,33.031029316259215
2022-06-02,North,132.53,132.53,102.62387639210756,31.9106575928456
2022-06-03,North,143.38,143.38,115.86526848580505,36.93971379817822
2022-06-04,North,146.29,146.29,118.4973623664934,32.79193400895202
2022-06-05,North,151.36,151.36,117.51624290986818,38.90812384511565
2022-06-06,North,142.63,142.63,123.43287255572378,35.076310988069565
2022-06-07,North,127.04,127.04,104.00116460455894,31.51408017170472
2022-06-08,North,133.0,133.0,100.44348251398677,32.068048908706295
2022-06-09,North,136.35,136.35,112.36276804316914,31.772942763851105
2022-06-10,North,141.26,141.26,108.1345916488634,35.653063316947744
2022-06-11,North,140.67,140.67,116.47142301871226,33.414719739696096
2022-06-12,North,143.66,143.66,120.72097789503702,29.797860592825696
2022-06-13,North,136.39,136.39,105.00858840824144,30.043627076585995
2022-06-14,North,137.26,137.26,114.6248806462216,32.0803084956145
2022-06-15,North,134.38,134.38,109.56790463468248,32.49599796633111
2022-06-16,North,132.14,132.14,109.82230079997244,31.314823022200205
2022-06-17,North,142.58,142.58,123.54796491326977,35.95394157958733
2022-06-18,North,141.39,141.39,111.88505941998564,29.37579627192275
2022-06-19,North,148.43,148.43,114.97531917821256,34.97317587301033
2022-06-20,North,135.49,135.49,103.9444278518724,28.46204154922569
2022-06-21,North,129.84,129.84,99.79294857517284,32.48742459096834
2022-06-22,North,132.72,132.72,105.79049145292949,31.355082571115997
2022-06-23,North,129.1,129.1,104.9857598740832,31.659219944048235
2022-06-24,North,144.21,144.21,116.7514539966501,32.11423407882047
2022-06-25,North,148.71,148.71,123.10391624518012,37.3009298633155
2022-06-26,North,161.66,161.66,129.39300945938953,39.4154493281177
2022-06-27,North,143.09,143.09,121.7396703857866,34.78508860602378
2022-06-28,North,126.95,126.95,100.23671583381022,30.13096550627312
2022-06-29,North,128.44,128.44,116.3528458329481,31.847714570590263
2022-06-30,North,125.77,125.77,103.74433673882504,28.7402148640253
2022-07-01,North,143.33,143.33,110.3782122179186,35.37711131804143
2022-07-02,North,146.52,146.52,111.86153750969444,37.602961788647846
2022-07-03,North,147.59,147.59,120.48436207621592,36.65922111995837
2022-07-04,North,142.29,142.29,112.71468607337074,31.99879506038518
2022-07-05,North,137.98,137.98,113.95400247046048,33.31883463454621
2022-07-06,North,126.64,126.64,103.67818812286774,27.74171691248271
2022-07-07,North,134.76,134.76,107.44385543671562,33.096780622351346
2022-07-08,North,143.96,143.96,110.93403140965798,34.69320682572508
2022-07-09,North,144.89,144.89,108.33776387657068,30.23836732093567
2022-07-10,North,143.94,143.94,112.91942523966487,31.464432312175276
2022-07-11,North,140.63,140.63,116.78599397161736,32.55972220651247
2022-07-12,North,138.11,138.11,111.55846872065104,32.020280505718354
2022-07-13,North,129.66,129.66,97.49930610644007,28.51304612916239
2022-07-14,North,134.32,134.32,108.32190462925593,32.64195745870437
2022-07-15,North,147.84,147.84,120.1985868986442,35.07094721788103
2022-07-16,North,148.04,148.04,114.01271281899432,34.21946173604296
2022-07-17,North,144.81,144.81,116.61662552972766,32.45041699968328
2022-07-18,North,148.77,148.77,119.30704359223002,36.85141425283313
2022-07-19,North,135.11,135.11,102.3731485108469,35.332814226176595
2022-07-20,North,133.84,133.84,108.86093680174142,30.80087703230693
2022-07-21,North,136.78,136.78,112.22792263184118,31.13166616569036
2022-07-22,North,134.52,134.52,113.0312562158764,32.88641533082399
2022-07-23,North,154.08,154.08,128.53301026017454,35.09994124050603
2022-07-24,North,153.67,153.67,116.04765316021454,35.45520559867353
2022-07-25,North,140.76,140.76,107.9188748004244,34.63130630344934
2022-07-26,North,136.66,136.66,111.9031763360433,28.51328782498541
2022-07-27,North,131.06,131.06,107.41692975456104,33.848604649705344
2022-07-28,North,131.86,131.86,108.06323843153024,31.517361048658685
2022-07-29,North,143.96,143.96,134.4316574532736,32.96901371087564
2022-07-30,North,154.65,154.65,126.57445255346585,35.751531691557105
2022-07-31,North,149.47,149.47,125.253828200903,34.81885871004104
2022-08-01,North,150.72,150.72,125.346008817466,31.681597393110152
2022-08-02,North,140.37,140.37,115.552956256529,36.06387645490648
2022-08-03,North,131.22,131.22,103.39965377679827,31.32665126454124
2022-08-04,North,132.91,132.91,110.12284610246634,32.46800426089475
