Latitude, Longitude, Data Value
84, 20, -1.68605
84, 21, -1.71326
84, 22, -1.74528
84, 23, -1.77224
84, 24, -1.78854
84, 25, -1.79643
84, 26, -1.79824
84, 27, -1.79917
84, 28, -1.79632
84, 29, -1.79542
84, 30, -1.7935
84, 31, -1.79115
84, 32, -1.78687
84, 33, -1.78115
84, 34, -1.77594
84, 35, -1.76923
84, 36, -1.76109
84, 37, -1.75323
84, 38, -1.74485
84, 39, -1.74202
84, 40, -1.73438
84, 41, -1.7246
84, 42, -1.71345
84, 43, -1.72244
84, 44, -1.72953
84, 45, -1.7409
84, 46, -1.74937
84, 47, -1.75474
84, 48, -1.76109
84, 49, -1.75961
84, 50, -1.76427
84, 51, -1.7635
84, 52, -1.7729
84, 53, -1.77507
84, 54, -1.77471
84, 55, -1.77101
84, 56, -1.776
84, 57, -1.77715
84, 58, -1.77493
84, 59, -1.76783
84, 60, -1.76594
84, 61, -1.76222
84, 62, -1.76085
84, 63, -1.77115
84, 64, -1.77507
84, 65, -1.77507
84, 66, -1.77208
84, 67, -1.7797
84, 68, -1.78227
84, 69, -1.78326
84, 70, -1.782
84, 71, -1.78293
84, 72, -1.78296
84, 73, -1.77748
84, 74, -1.77378
84, 75, -1.77024
84, 76, -1.77356
84, 77, -1.78085
84, 78, -1.78928
84, 79, -1.79531
84, 80, -1.79816
84, 81, -1.79808
84, 82, -1.79468
84, 83, -1.78989
84, 84, -1.78134
84, 85, -1.77641
84, 86, -1.77528
84, 87, -1.77676
84, 88, -1.78285
84, 89, -1.78202
84, 90, -1.78043
84, 91, -1.78591
84, 92, -1.79158
84, 93, -1.79454
84, 94, -1.79646
84, 95, -1.79731
84, 96, -1.79876
84, 97, -1.79841
84, 98, -1.79939
84, 99, -1.80087
84, 100, -1.80084
84, 101, -1.79983
84, 102, -1.79945
84, 103, -1.79969
84, 104, -1.79972
84, 105, -1.79983
84, 106, -1.79988
84, 107, -1.79994
84, 108, -1.80008
84, 109, -1.79997
84, 110, -1.79999
84, 111, -1.79999
84, 112, -1.79999
84, 113, -1.79999
84, 114, -1.79997
84, 115, -1.79999
84, 116, -1.79999
84, 117, -1.79999
84, 118, -1.79999
84, 119, -1.79999
84, 120, -1.79999
84, 121, -1.79999
84, 122, -1.79999
84, 123, -1.79999
84, 124, -1.79999
84, 125, -1.79999
84, 126, -1.79999
84, 127, -1.79999
84, 128, -1.79999
84, 129, -1.79999
84, 130, -1.79999
84, 131, -1.79999
84, 132, -1.79999
84, 133, -1.79999
84, 134, -1.79999
84, 135, -1.79999
84, 136, -1.79999
84, 137, -1.79999
84, 138, -1.79999
84, 139, -1.79999
84, 140, -1.79999
84, 141, -1.79999
84, 142, -1.79999
84, 143, -1.79999
84, 144, -1.79999
84, 145, -1.79999
84, 146, -1.79999
84, 147, -1.79999
84, 148, -1.79999
84, 149, -1.79999
84, 150, -1.79999
84, 151, -1.79999
84, 152, -1.79991
84, 153, -1.79983
84, 154, -1.7998
84, 155, -1.79977
84, 156, -1.79967
84, 157, -1.79967
84, 158, -1.79972
84, 159, -1.7998
84, 160, -1.79999
84, 161, -1.79999
84, 162, -1.79999
84, 163, -1.79999
84, 164, -1.79999
84, 165, -1.79999
84, 166, -1.79999
84, 167, -1.79999
84, 168, -1.79999
84, 169, -1.79999
84, 170, -1.79999
